Datelvl,Timelvl,Water Level,Datesf,Timesf,Corrected Out (cm/hr),Date time hum,Humidity,Date time  temp,Temperature
18/01/2024,6:50:00,12.26,20/01/2024,3:00:00,4.7640,19/01/2024 8:16,83.2,19/01/2024 20:25,15.9
18/01/2024,6:55:00,12.33,20/01/2024,3:30:00,4.8990,19/01/2024 8:46,82.5,19/01/2024 20:55,15.5
18/01/2024,7:00:00,12.3,20/01/2024,4:00:00,4.7760,19/01/2024 9:12,80.9,19/01/2024 21:24,15.4
18/01/2024,7:05:00,12.19,20/01/2024,4:30:00,4.6890,19/01/2024 9:22,82.6,19/01/2024 21:54,15
18/01/2024,7:10:00,12.19,20/01/2024,5:00:01,4.7060,19/01/2024 9:22,78.9,19/01/2024 22:23,14.9
18/01/2024,7:15:00,12.26,20/01/2024,5:30:00,4.6830,19/01/2024 9:35,77.9,19/01/2024 22:51,14.4
18/01/2024,7:20:00,12.26,20/01/2024,6:00:00,4.7150,19/01/2024 9:40,83.8,19/01/2024 23:18,13.6
18/01/2024,7:25:00,12.29,20/01/2024,6:30:01,4.9190,19/01/2024 9:55,80.9,19/01/2024 23:43,12.8
18/01/2024,7:30:00,12.41,20/01/2024,7:00:01,4.8520,19/01/2024 10:00,78.7,20/01/2024 0:09,12.2
18/01/2024,7:35:00,12.4,20/01/2024,7:30:01,4.9180,19/01/2024 10:23,82.8,20/01/2024 0:37,11.8
18/01/2024,7:40:00,12.37,20/01/2024,8:00:00,5.4740,19/01/2024 10:34,80.6,20/01/2024 0:29,11.5
18/01/2024,7:45:00,12.3,20/01/2024,8:30:00,5.8050,19/01/2024 10:35,78.5,20/01/2024 1:07,11.5
18/01/2024,7:50:00,12.41,20/01/2024,9:00:01,6.9030,19/01/2024 10:47,75.7,20/01/2024 1:31,11.2
18/01/2024,7:55:00,12.36,20/01/2024,9:30:01,9.0040,19/01/2024 10:54,75.3,20/01/2024 1:46,10.6
18/01/2024,8:00:00,12.74,20/01/2024,10:00:00,11.5190,19/01/2024 11:24,75.8,20/01/2024 2:15,11
18/01/2024,8:05:00,12.76,20/01/2024,10:30:00,15.5430,19/01/2024 11:36,77.8,20/01/2024 2:45,11
18/01/2024,8:10:00,13.14,20/01/2024,11:00:00,18.1220,19/01/2024 11:51,79.8,20/01/2024 3:15,11.4
18/01/2024,8:15:00,13.74,20/01/2024,11:30:01,17.6860,19/01/2024 12:08,79.8,20/01/2024 3:45,11.4
18/01/2024,8:20:00,13.95,20/01/2024,12:00:00,18.7870,19/01/2024 12:10,78.3,20/01/2024 4:14,11.6
18/01/2024,8:25:00,13.91,20/01/2024,12:30:00,24.7590,19/01/2024 12:12,76.6,20/01/2024 4:44,11.6
18/01/2024,8:30:00,15.64,20/01/2024,13:00:01,26.0940,19/01/2024 12:20,74.4,20/01/2024 5:14,11.7
18/01/2024,8:35:00,13.98,20/01/2024,13:30:01,28.0490,19/01/2024 12:30,72.1,20/01/2024 5:43,11.9
18/01/2024,8:40:00,19.6,20/01/2024,14:00:01,28.1980,19/01/2024 12:48,70.3,20/01/2024 6:13,12.2
18/01/2024,8:45:00,21.51,20/01/2024,14:30:00,24.9850,19/01/2024 13:09,72,20/01/2024 6:42,12.5
18/01/2024,8:50:00,20.62,20/01/2024,15:00:01,26.0130,19/01/2024 13:09,70.4,20/01/2024 7:10,13.1
18/01/2024,8:55:00,16.26,20/01/2024,15:30:01,24.3470,19/01/2024 13:37,72.3,20/01/2024 7:31,13.7
18/01/2024,9:00:00,20.63,20/01/2024,16:00:01,23.5450,19/01/2024 13:53,69.4,20/01/2024 7:42,14.6
18/01/2024,9:05:00,22.98,20/01/2024,16:30:00,20.2530,19/01/2024 14:06,67.2,20/01/2024 7:56,15.4
18/01/2024,9:10:00,23.11,20/01/2024,17:00:00,24.5160,19/01/2024 14:01,65.5,20/01/2024 8:21,15.9
18/01/2024,9:15:00,23.53,20/01/2024,17:30:01,26.5020,19/01/2024 14:36,67.9,20/01/2024 8:51,16.3
18/01/2024,9:20:00,23.6,20/01/2024,18:00:01,24.1730,19/01/2024 15:05,67.1,20/01/2024 9:21,16.9
18/01/2024,9:25:00,23.56,20/01/2024,18:30:00,23.7020,19/01/2024 15:27,65.4,20/01/2024 9:50,17.2
18/01/2024,9:30:00,23.72,20/01/2024,19:00:00,21.7460,19/01/2024 15:47,68.1,20/01/2024 10:17,17.8
18/01/2024,9:35:00,23.48,20/01/2024,19:30:01,15.3060,19/01/2024 16:09,69.9,20/01/2024 10:35,18.6
18/01/2024,9:40:00,23.47,20/01/2024,20:00:00,12.0240,19/01/2024 16:39,70.1,20/01/2024 10:54,19.3
18/01/2024,9:45:00,23.35,20/01/2024,20:30:01,9.3010,19/01/2024 17:04,70.4,20/01/2024 11:14,19.9
18/01/2024,9:50:00,23.38,20/01/2024,21:00:01,7.5500,19/01/2024 17:31,69.3,20/01/2024 11:46,19.7
18/01/2024,9:55:00,23.19,20/01/2024,21:30:01,6.7750,19/01/2024 17:58,71.7,20/01/2024 12:06,20.6
18/01/2024,10:00:00,23.18,20/01/2024,22:00:01,6.2910,19/01/2024 18:27,72.4,20/01/2024 12:26,21.5
18/01/2024,10:05:00,22.94,20/01/2024,22:30:01,6.2220,19/01/2024 18:49,73.7,20/01/2024 12:43,22.3
18/01/2024,10:10:00,22.84,20/01/2024,23:00:01,5.9280,19/01/2024 18:44,71.9,20/01/2024 13:11,22.9
18/01/2024,10:15:00,22.78,20/01/2024,23:30:00,5.7270,19/01/2024 19:07,76,20/01/2024 13:37,23.7
18/01/2024,10:20:00,22.76,21/01/2024,0:00:00,5.3640,19/01/2024 19:31,76.6,20/01/2024 14:08,24.1
18/01/2024,10:25:00,22.76,21/01/2024,0:30:01,5.3190,19/01/2024 20:01,77.6,20/01/2024 14:29,25.1
18/01/2024,10:30:00,22.86,21/01/2024,1:00:01,5.3330,19/01/2024 20:28,78.8,20/01/2024 14:51,25.7
18/01/2024,10:35:00,22.67,21/01/2024,1:30:00,4.6940,19/01/2024 20:55,80.2,20/01/2024 15:06,26.4
18/01/2024,10:40:00,22.65,21/01/2024,2:00:00,4.8970,19/01/2024 21:25,81.7,20/01/2024 15:32,26.5
18/01/2024,10:45:00,22.75,21/01/2024,2:30:00,5.1690,19/01/2024 21:54,83,20/01/2024 15:48,27.2
18/01/2024,10:50:00,22.69,21/01/2024,3:00:00,4.7700,19/01/2024 22:24,83.6,20/01/2024 16:05,26.2
18/01/2024,10:55:00,22.68,21/01/2024,3:30:00,5.1370,19/01/2024 22:53,84.6,20/01/2024 16:35,26.1
18/01/2024,11:00:00,22.75,21/01/2024,4:00:01,4.9820,19/01/2024 23:23,86.2,20/01/2024 17:05,25.8
18/01/2024,11:05:00,22.44,21/01/2024,4:30:01,5.1740,19/01/2024 23:52,87,20/01/2024 17:28,26.2
18/01/2024,11:10:00,22.67,21/01/2024,5:00:01,5.0710,20/01/2024 0:22,88.5,20/01/2024 17:54,27.2
18/01/2024,11:15:00,22.74,21/01/2024,5:30:01,5.1640,20/01/2024 0:52,89,20/01/2024 18:24,27
18/01/2024,11:20:00,22.71,21/01/2024,6:00:01,5.1620,20/01/2024 1:21,89.3,20/01/2024 18:51,26.6
18/01/2024,11:25:00,22.62,21/01/2024,6:30:00,5.3540,20/01/2024 1:51,89.8,20/01/2024 19:16,25.8
18/01/2024,11:30:00,22.69,21/01/2024,7:00:01,5.3770,20/01/2024 2:20,90.4,20/01/2024 19:43,25.1
18/01/2024,11:35:00,22.59,21/01/2024,7:30:01,7.4980,20/01/2024 2:50,90.6,20/01/2024 20:10,24.4
18/01/2024,11:40:00,22.41,21/01/2024,8:00:00,8.8890,20/01/2024 3:19,91,20/01/2024 20:32,23.6
18/01/2024,11:45:00,22.37,21/01/2024,8:30:01,10.2210,20/01/2024 3:49,91,20/01/2024 20:57,23
18/01/2024,11:50:00,22.39,21/01/2024,9:00:00,15.8330,20/01/2024 4:18,91,20/01/2024 21:27,22.6
18/01/2024,11:55:00,22.61,21/01/2024,9:30:00,14.4320,20/01/2024 4:48,91,20/01/2024 21:56,21.8
18/01/2024,12:00:00,22.58,21/01/2024,10:00:00,14.7650,20/01/2024 5:18,91,20/01/2024 22:26,21.2
18/01/2024,12:05:00,22.23,21/01/2024,10:30:00,18.4020,20/01/2024 5:47,91,20/01/2024 22:56,20.7
18/01/2024,12:10:00,22.32,21/01/2024,11:00:00,18.0900,20/01/2024 6:17,91,20/01/2024 23:23,20.1
18/01/2024,12:15:00,22.31,21/01/2024,11:30:01,14.4290,20/01/2024 6:46,91.4,20/01/2024 23:33,19.3
18/01/2024,12:20:00,22.47,21/01/2024,12:00:01,17.1190,20/01/2024 7:16,91.9,20/01/2024 23:42,18.4
18/01/2024,12:25:00,22.37,21/01/2024,12:30:01,18.6810,20/01/2024 7:43,91.8,20/01/2024 23:55,18
18/01/2024,12:30:00,22.32,21/01/2024,13:00:01,21.1740,20/01/2024 7:58,89.7,21/01/2024 0:36,17.6
18/01/2024,12:35:00,22.59,21/01/2024,13:30:00,16.5370,20/01/2024 8:08,87.1,21/01/2024 0:57,16.8
18/01/2024,12:40:00,22.41,21/01/2024,14:00:01,17.4730,20/01/2024 8:24,84.8,21/01/2024 1:19,16.1
18/01/2024,12:45:00,22.15,21/01/2024,14:30:01,16.3490,20/01/2024 8:52,84.8,21/01/2024 2:11,16.5
18/01/2024,12:50:00,22.34,21/01/2024,15:00:01,23.9820,20/01/2024 9:13,82.9,21/01/2024 3:00,16.7
18/01/2024,12:55:00,22.31,21/01/2024,15:30:00,18.1200,20/01/2024 9:36,82.2,21/01/2024 3:38,16.6
18/01/2024,13:00:00,22.44,21/01/2024,16:00:00,18.4300,20/01/2024 9:49,80.3,21/01/2024 4:06,15.8
18/01/2024,13:05:00,22.98,21/01/2024,16:30:01,22.2310,20/01/2024 10:03,79.4,21/01/2024 4:56,15.6
18/01/2024,13:10:00,22.78,21/01/2024,17:00:00,22.6470,20/01/2024 10:17,78.2,21/01/2024 5:45,15.9
18/01/2024,13:15:00,22.74,21/01/2024,17:30:00,22.0810,20/01/2024 10:28,76.3,21/01/2024 6:35,16.2
18/01/2024,13:20:00,22.8,21/01/2024,18:00:00,18.8180,20/01/2024 10:40,74.2,21/01/2024 7:20,16.9
18/01/2024,13:25:00,22.32,21/01/2024,18:30:01,17.0130,20/01/2024 10:58,72.3,21/01/2024 7:56,17.4
18/01/2024,13:30:00,22.21,21/01/2024,19:00:01,16.5420,20/01/2024 11:28,72.1,21/01/2024 8:13,18.2
18/01/2024,13:35:00,22.28,21/01/2024,19:30:01,13.9440,20/01/2024 11:52,72.7,21/01/2024 8:44,18.8
18/01/2024,13:40:00,22.6,21/01/2024,20:00:01,12.3590,20/01/2024 12:04,70.3,21/01/2024 9:22,19.3
18/01/2024,13:45:00,22.38,21/01/2024,20:30:01,11.1340,20/01/2024 12:20,67.8,21/01/2024 10:06,19
18/01/2024,13:50:00,22.16,21/01/2024,21:00:00,8.9230,20/01/2024 12:34,65.4,21/01/2024 11:02,19
18/01/2024,13:55:00,22.18,21/01/2024,21:30:00,7.5110,20/01/2024 12:44,63,21/01/2024 11:48,18.9
18/01/2024,14:00:00,22.49,21/01/2024,22:00:00,6.7560,20/01/2024 12:48,61.8,21/01/2024 11:47,18.3
18/01/2024,14:05:00,22.46,21/01/2024,22:30:00,6.3790,20/01/2024 13:13,62.7,21/01/2024 12:33,18.7
18/01/2024,14:10:00,22.14,21/01/2024,23:00:01,6.3440,20/01/2024 13:28,60.9,21/01/2024 13:12,18.9
18/01/2024,14:15:00,22.47,21/01/2024,23:30:00,6.3840,20/01/2024 13:48,59.3,21/01/2024 13:45,19
18/01/2024,14:20:00,22.42,22/01/2024,0:00:00,6.3570,20/01/2024 13:57,57.3,21/01/2024 13:47,18.4
18/01/2024,14:25:00,22.85,22/01/2024,0:30:00,6.3790,20/01/2024 14:07,54.9,21/01/2024 14:16,19.8
18/01/2024,14:30:00,22.91,22/01/2024,1:00:00,6.1370,20/01/2024 14:19,53,21/01/2024 15:04,19.9
18/01/2024,14:35:00,22.79,22/01/2024,1:30:00,6.1220,20/01/2024 14:27,50.9,21/01/2024 15:50,19.7
18/01/2024,14:40:00,23.19,22/01/2024,2:00:01,6.2380,20/01/2024 14:37,48.8,21/01/2024 16:41,19.6
18/01/2024,14:45:00,22.8,22/01/2024,2:30:01,5.7850,20/01/2024 14:42,46.8,21/01/2024 16:48,19.2
18/01/2024,14:50:00,22.36,22/01/2024,3:00:01,6.3340,20/01/2024 14:47,44.8,21/01/2024 17:34,19.2
18/01/2024,14:55:00,22.47,22/01/2024,3:30:01,6.5550,20/01/2024 14:52,43.1,21/01/2024 18:07,18.5
18/01/2024,15:00:00,22.72,22/01/2024,4:00:00,6.4480,20/01/2024 15:09,40.9,21/01/2024 18:52,18.3
18/01/2024,15:05:00,22.9,22/01/2024,4:30:01,6.5490,20/01/2024 15:21,39.5,21/01/2024 19:34,17.5
18/01/2024,15:10:00,22.88,22/01/2024,5:00:01,6.2920,20/01/2024 15:26,40.8,21/01/2024 19:45,17.2
18/01/2024,15:15:00,22.96,22/01/2024,5:30:01,6.4320,20/01/2024 15:48,38.3,21/01/2024 20:34,16.8
18/01/2024,15:20:00,22.9,22/01/2024,6:00:01,6.7200,20/01/2024 15:48,37.4,21/01/2024 21:24,16.3
18/01/2024,15:25:00,23.1,22/01/2024,6:30:00,6.3120,20/01/2024 16:18,39.9,21/01/2024 22:13,16.2
18/01/2024,15:30:00,22.97,22/01/2024,7:00:00,6.9080,20/01/2024 16:42,40.6,21/01/2024 23:03,16.1
18/01/2024,15:35:00,22.84,22/01/2024,7:30:00,7.1980,20/01/2024 17:08,41.9,21/01/2024 23:52,16.2
18/01/2024,15:40:00,23.03,22/01/2024,8:00:00,8.5670,20/01/2024 17:07,43.4,22/01/2024 0:42,16.2
18/01/2024,15:45:00,23.03,22/01/2024,8:30:00,10.7390,20/01/2024 17:35,40.1,22/01/2024 1:31,16.2
18/01/2024,15:50:00,22.9,22/01/2024,9:00:01,13.5480,20/01/2024 18:05,39.2,22/01/2024 2:20,16
18/01/2024,15:55:00,22.9,22/01/2024,9:30:01,16.4070,20/01/2024 18:06,38.1,22/01/2024 3:10,15.7
18/01/2024,16:00:00,22.73,22/01/2024,10:00:01,16.3330,20/01/2024 18:38,39.8,22/01/2024 3:59,15.5
18/01/2024,16:05:00,23.1,22/01/2024,10:30:01,19.2990,20/01/2024 18:58,43.1,22/01/2024 4:49,15.4
18/01/2024,16:10:00,23.32,22/01/2024,11:00:00,21.1630,20/01/2024 18:53,41,22/01/2024 5:38,15.3
18/01/2024,16:15:00,23.23,22/01/2024,11:30:00,21.5570,20/01/2024 19:13,45.8,22/01/2024 6:27,15.3
18/01/2024,16:20:00,23.01,22/01/2024,12:00:01,22.0900,20/01/2024 19:30,47.9,22/01/2024 7:17,15.7
18/01/2024,16:25:00,23.04,22/01/2024,12:30:01,21.3450,20/01/2024 19:44,50,22/01/2024 8:06,15.8
18/01/2024,16:30:00,22.99,22/01/2024,13:00:00,23.7100,20/01/2024 20:04,51.6,22/01/2024 8:51,16.2
18/01/2024,16:35:00,23.01,22/01/2024,13:30:01,26.6180,20/01/2024 20:12,53.7,22/01/2024 9:27,17
18/01/2024,16:40:00,23.01,22/01/2024,14:00:00,23.5570,20/01/2024 20:17,55.7,22/01/2024 10:05,17.7
18/01/2024,16:45:00,23.09,22/01/2024,14:30:00,27.1660,20/01/2024 20:29,57.7,22/01/2024 10:14,18.6
18/01/2024,16:50:00,23.29,22/01/2024,15:00:00,21.9930,20/01/2024 20:54,59.5,22/01/2024 10:48,17.7
18/01/2024,16:55:00,23.33,22/01/2024,15:30:00,23.5760,20/01/2024 21:20,60.8,22/01/2024 11:36,17.8
18/01/2024,17:00:00,23.19,22/01/2024,16:00:00,23.1240,20/01/2024 21:31,62.4,22/01/2024 12:22,18.3
18/01/2024,17:05:00,22.89,22/01/2024,16:30:01,21.1640,20/01/2024 21:41,64.1,22/01/2024 13:11,18.3
18/01/2024,17:10:00,22.92,22/01/2024,17:00:01,21.9810,20/01/2024 21:50,66,22/01/2024 14:00,18.1
18/01/2024,17:15:00,23.33,22/01/2024,17:30:01,19.5910,20/01/2024 22:00,68,22/01/2024 14:53,18.4
18/01/2024,17:20:00,23.28,22/01/2024,18:00:00,15.4800,20/01/2024 22:10,69.9,22/01/2024 15:39,18
18/01/2024,17:25:00,23.12,22/01/2024,18:30:01,14.2100,20/01/2024 22:20,71.8,22/01/2024 16:31,17.9
18/01/2024,17:30:00,22.95,22/01/2024,19:00:01,12.6260,20/01/2024 22:30,73.6,22/01/2024 17:07,17.6
18/01/2024,17:35:00,22.94,22/01/2024,19:30:01,11.9580,20/01/2024 22:47,75.4,22/01/2024 17:27,17.8
18/01/2024,17:40:00,23.23,22/01/2024,20:00:01,12.0190,20/01/2024 23:04,77,22/01/2024 18:05,17
18/01/2024,17:45:00,23.25,22/01/2024,20:30:01,9.3480,20/01/2024 23:19,79,22/01/2024 19:01,16.6
